ParaniTeMoana,19
jeanettem1,19
TeKeteAhumara,19
bjwiari,18
Haweti,18
whetu_teua,18
Amo_amokura,18
CPITChCh,18
TimProvise,18
DonnaMarianaGra,18
rg_jones,18
misstahi,17
ParaoneG,17
LanguageKboard,17
kg_gera,17
CourtDavidson_,17
empiya,17
nicholasmaaka,17
maoriahau,16
mereana_t,16
NaketaNZ,16
Lolz_12,16
PohoiraClay,16
Terewai17,16
hearawhairawa,16
TaurangaMBA,16
krystalRoberts3,16
suicidenz,16
RReiri,15
PouTepou,15
HoanaHati,15
markrevington,15
AliLeonardMC,15
te_aniwa,14
Kommikal,14
AkoAroha,14
hera1835,14
CatrionaPene,14
hei4nau,14
bevms08,14
RepoConsultancy,14
PlunketNZ,13
PaciFicEduCator,13
MitaEru,13
Waiariki_Cowboy,13
VLNPrimary,13
phpnz,13
metzy,13
newzealandbirds,13
raukawa1,12
KirstenDDaniels,12
KereruTe,12
bonny_bird,12
Tanerau13,12
TUMEKE_blog,12
tarerethatcher,12
leeanne_manuel,12
MITEMaori,12
kaceycummane,12
Te_Papa,11
TalisaKupenga,11
HoriHeathen,11
KiriAllan,11
ngaatipakeha,11
Rubie_cookie,11
Kimii4karuru,11
indiginz,11
mekawhaitiri,10
JustHineao,10
TeManuAtaahua,10
MaiFM,10
shetfrog,10
ErueraMita,10
ChrisMcLean15,10
kimcblair,10
Awhi78,10
Chessa_W,10
Aroha_Treacher,9
MatuColeman,9
WhaeaDanie,9
HoriaMoanaB,9
TiapanaICT,9
rangitewhiu,9
paulr_navigator,9
TheBigHitNZ,9
yozaah,9
niki_edmonds,9
janenicholls,9
glenysmturu,8
Heragurl,8
1981renee,8
kmk_reo,8
Ramonah_Latu,8
RenoHemi,8
yorkstblues,8
WhanauOra,8
heymilly,8
AnneSturgess2,8
daniel_haines,7
priestley_lynda,7
Ungr8ful_Savage,7
hollyrwalker,7
TokoroaThrive,7
MelanieHawea,7
BrendaCritch1,7
waldok,7
NZMIS,7
taikirau242,7
MyraOK,7
GoodResearch,7
ki_moti,7
Lysstuart,7
MonowaiP,7
digitallearnin,7
John_McAlpine01,7
HotaaiAtawhai,7
leigh_mclachlan,7
