metiria,-41.28646,174.776236
Mihi_Forbes,-36.84846,174.763332
MiriaFlavell,-36.84846,174.763332
Miss_Whanau,-41.28646,174.776236
mistyormsby,-39.603735,176.8921
MitaEru,-37.953411,176.990801
M_K3waves,-37.687797,176.16513
mktconsultancy,-36.994102,174.87266
MoanaTimoko,-35.407194,173.803926
MondoWhangarei,-35.725112,174.323708
MrMaipi,-36.84846,174.763332
munro_cat,-36.84846,174.763332
Mwwlorg,-41.28646,174.776236
MzPolynesian,-39.930089,175.04789
n8tvaffairs,-36.84846,174.763332
Na_Cuz,-36.908748,174.862331
NaketaNZ,21.543333,39.172778
na_raihania,-39.639578,176.839232
nataliemankelow,-37.687797,176.16513
NaturallyTrisha,-36.515102,174.662816
nepia_niki,-38.136848,176.249746
neverhasbeen,-37.20213,174.903513
newzealandbirds,-41.084776,175.455519
NgaAhoWhakaari,-36.84846,174.763332
NgaiTahu,-43.532054,172.636225
Ngai_Tahu_Law,-45.87876,170.502798
NgaiTamanuhiri,-36.836211,174.434069
NgaMataapunaOra,-37.687797,176.16513
Ngapuhi_Radio,-35.407194,173.803926
Ngapuhi_TV,-35.407194,173.803926
Ngawaiata47,-35.11733,173.267559
nicholasmaaka,-36.84846,174.763332
nic_mccall,-36.84846,174.763332
niki_edmonds,-36.84846,174.763332
nikora75,-43.532054,172.636225
NStevenson,-41.28646,174.776236
NTPounamu,-43.532054,172.636225
NZwhero,-38.136848,176.249746
_otewamarae,-38.188808,175.209889
PaciFicEduCator,-36.84846,174.763332
packer_deb,-39.353815,174.438272
PauletteTamati,-45.801641,170.706671
peterjkeegan,-36.84846,174.763332
phpnz,-37.687797,176.16513
piki_huia,-36.84846,174.763332
piri_rurawhe,-40.039947,175.177773
PohoiraClay,-41.133333,174.85
possiblyb9,-44.396972,171.254973
Pukeko02,-43.333823,172.642857
PukengaC,-36.84846,174.763332
putahifestival,-41.28646,174.776236
RacquelMcKenzie,-38.136848,176.249746
rangitewhiu,-40.760587,175.156018
RanieraHarrison,-36.84846,174.763332
RawiriB,-37.841077,176.362705
raymurakami,-36.84846,174.763332
rekadesmi1,-3.792067,102.261996
reomaori,-41.28646,174.776236
RepoConsultancy,-35.18437,174.164616
RevChrisHuriwai,-40.039722,175.176385
RFiliata,-40.352306,175.608215
RiaHallNZ,-37.687797,176.16513
robclarke,-43.511223,172.647842
RobertaKP21,-40.352306,175.608215
robynnuthall,-43.532054,172.636225
RoihanaNuri,-38.136848,176.249746
RoihanaNuri,-38.136848,176.249746
RReiri,-41.212881,175.241196
ruditee,-36.84846,174.763332
rukuroa,-41.143333,175.019514
Russell_Lee_,-41.28646,174.776236
SCampbellMedia,-37.687797,176.16513
schoolkitnz,-37.787001,175.279253
SHaunui,-36.84846,174.763332
shetfrog,-37.695829,176.072893
SiskoBrown,-36.84846,174.763332
SJpetley,-37.697179,176.284717
TaheiSimpson,-36.84846,174.763332
TahuPaki,-41.270632,173.283965
takaramaina,-36.84846,174.763332
Tama_Koops,-36.84846,174.763332
tamaticoffey,-38.136848,176.249746
TamatiTiananga,-36.84846,174.763332
Tangihanga,-36.873929,174.627725
tarerethatcher,-38.007228,177.287128
TariaNgawhika,-38.136848,176.249746
Taroaroa,-41.28646,174.776236
tauhenare,-36.855241,174.651455
tautokai,-40.988056,174.950989
tavvi2toes,-36.84846,174.763332
TAWHI84,-43.532054,172.636225
TeachingConsult,-40.352306,175.608215
TeAhurutanga,-37.953411,176.990801
teakau2,-36.270226,174.407817
te_aniwa,-36.791954,174.687403
TeArawaFM,-38.136848,176.249746
tea_tut,-36.84846,174.763332
TeHiku,-35.11733,173.267559
TeKaeaOfficial,-36.84846,174.763332
TeKaraka,-43.532054,172.636225
TeKarereTVNZ,-36.84846,174.763332
TeManuAtaahua,-37.814107,144.96328
TeManuKorihi,-41.28646,174.776236
temihinga,-36.84846,174.763332
temihiroa_,-37.787001,175.279253
Tem_Morrison,-38.136848,176.249746
TeOraroa,-39.492844,176.912018
tepakehaiti,-43.532054,172.636225
Te_Papa,-41.28646,174.776236
terangihaeata1,-38.136848,176.249746
TeRangiparuhi,-43.532054,172.636225
Terewai17,-33.867487,151.20699
Te_Rina20,-38.662334,178.017649
TeRinaKowhai,-36.84846,174.763332
TheBigHitNZ,-36.84846,174.763332
thelittlepakeha,-41.28646,174.776236
ThomasDeanne,-40.352306,175.608215
TiapanaICT,-36.84846,174.763332
Tiiwaha,-40.352306,175.608215
TimGanderNZ,-38.662334,178.017649
TinaWickliffe,-36.84846,174.763332
tinopai,-36.84846,174.763332
TipaJustin,-43.532054,172.636225
TogiLemanu,-36.84846,174.763332
TokoroaThrive,-38.217965,175.870579
TrustReo,-41.28646,174.776236
tstorer1,-37.787001,175.279253
TTKTimes,-38.036448,176.793476
Tuhoeetu,-38.064896,177.003451
tuilah1,15.870032,100.992541
TUMEKE_blog,-36.84846,174.763332
TutuTaniwha,-36.84846,174.763332
virtuallykaren,-41.28646,174.776236
waateanews,-36.968628,174.793687
wawaro81,-40.352306,175.608215
wepihatekanawa,-36.84846,174.763332
wetinipaul,-37.682503,176.188023
Whaea_Kaa,-39.588335,174.279539
whaeavee,-41.225099,174.914887
Whakawatea282,-37.787001,175.279253
WhatiTeWake01,-35.270591,174.079654
WhenuaLawyer,-36.908748,174.862331
willuxflavell,-36.855241,174.651455
ytahana,-36.84846,174.763332
zeborah,-43.532054,172.636225
